GeoRegion,id,Operators,Domicile,Country,EconRegion,Growth_1Yr,Growth_2Yrs,Growth_3Yrs,Growth_4Yrs,Growth_5Yrs,Growth_10Yrs,entrytime,Admin,Demographics,Economic,Financial,Geographic,Global_Connected,Knowledge,Political,Brand_Val,Enterprise_Val,BV_div_EV,Brand_Rat_3cat,Nos_Countries,Large_Govt_Share,Major_Share,Operato_Age,Multinational,Nos_Empl,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI_Index,Econ_Glob,Social_Glob,Political_Glob,Overall_Glob,GII_Input,GII_Output,GII_Overall,PR,CL,Ethnic_Frac,Linguistic_Frac,Religious_Frac,Power_Distance,Individualism,Masculinity,UA,Longtrem,Indulgence_Restraint,G3,opertype
5,3,Airtel (Bharti Airtel),India,Seychelles,1,1.07,0.8,.,.,.,.,6.25,4.255,1.373,4.642,.,3.597,7.552,0.047,.,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,5.183,0.08,17.37,0.714,176.372,50.12,42.77,76.69,55.03,35.22,57.26,44.45,32.68,38.6,3,3,0.203,0.161,0.232,77,20,46,54,9,78,1,0
1,3,Airtel (Bharti Airtel),India,India,3,1.1,0.87,0.77,0.7,0.67,.,10.5,0,0,0,0,0,0,0,0,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,1.706,1050.881,2.69,0.494,354.182,27.667,35.15,42.23,29.66,90.67,50.94,36.47,32.56,34.52,2,3,0.418,0.807,0.326,77,48,56,40,50.88,26.12,1,0
5,3,Airtel (Bharti Airtel),India,Gabon,2,0.79,.,.,.,.,.,13.5,4.958,4.596,6.056,.,7.4823,2.337,0,8.3985,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,3.676,1.24,8.5,0.633,4.778,80.082,42.2,39.48,40.55,64.2,46.69,41.2,20.54,30.87,6,4,0.786,0.808,0.097,.,.,.,.,.,.,1,0
5,3,Airtel (Bharti Airtel),India,Kenya,3,0.67,0.59,0.6,0.58,.,.,11.5,2.07,2.088,0.648,0.185,4.7423,1.021,0,8.369,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,5.259,31.706,1.94,0.447,55.26,19.892,48.1,40.4,25.63,83.2,46.75,39.24,19.05,29.15,4,4,0.859,0.886,0.777,77,20,46,54,9,78,1,0
5,3,Airtel (Bharti Airtel),India,Ghana,3,.,.,.,.,.,.,8.25,1.707,1.028,5.011,0.124,8.571,0.467,0.001,7.6938,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,4.03,19.059,1.36,0.485,83.233,43.929,42.2,51.69,28.37,84.23,52.05,39.84,25.12,32.48,1,2,0.673,0.673,0.799,77,20,46,54,3.53,72.32,1,0
1,3,Airtel (Bharti Airtel),India,India,3,1.79,.,.,.,.,.,4.05,0,0,0,0,0,0,0,0,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,1.533,1197.881,3.83,0.569,408.407,30.587,35.15,42.23,29.66,90.67,50.94,36.47,32.56,34.52,2,3,0.418,0.807,0.326,77,48,56,40,50.88,26.12,0,0
5,3,Airtel (Bharti Airtel),India,Seychelles,1,.,.,.,.,.,.,5.05,4.255,4.075,14.156,.,3.597,.,0.023,.,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,5.21,0.091,18.19,0.74,189.778,52.041,42.77,78.67,55.2,36.02,58.25,44.45,32.68,38.6,3,3,0.203,0.161,0.232,77,20,46,54,9,78,0,0
5,3,Airtel (Bharti Airtel),India,Rwanda,4,.,.,.,.,.,.,5.05,24.912,5.21,0.173,.,5.6842,4.652,.,18.2203,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,6.305,10.683,1.14,0.454,404.436,22.988,51.34,31.31,24.02,67.15,38.5,34.73,17,25.86,6,6,0.324,0,0.507,.,.,.,.,18.39,37.28,0,0
5,3,Airtel (Bharti Airtel),India,Gabon,2,.,.,.,.,.,.,6.05,4.958,3.868,6.21,.,7.4823,.,0,.,3.16,27.74,0.11,2,21,0,45.09,22,0,18.79,3.882,1.538,7.86,0.66,6.158,85.313,42.2,47.47,40.08,71.03,51.24,41.2,20.54,30.87,6,4,0.786,0.808,0.097,.,.,.,.,.,.,0,0
1,4,Axiata,Malaysia,Indonesia,3,2.26,1.63,1.3,.,.,.,6.25,2.086,1.685,9.201,6.096,1.1803,3.25,0.006,0.4507,0.76,10.87,0.07,1,7,1,45.09,26,0,25,3.521,210.455,4.15,0.604,116.772,42.002,34.01,65.57,32.45,81.31,57.68,33.57,21.99,27.78,2,3,0.735,0.768,0.234,78,14,46,48,61.96,37.72,1,0
