GeoR,Operators,Domicile,Country,EconR,EntryTimes,dev_operator,Admin,Demographics,Geographic,HHI,Pop_mill,GDPcap,HDI,PopDen,Urbanization,GINI,EconGlob,SocialGlob,PoliticalGlob,OverallGlob,GIIInput,GIIOutput,GIIOverall,PR,CL,EthnicFrac,LinguisticFrac,ReligiousFrac,G3
1,Cellcom,Israel,Israel,1,4,1,0,0,0,3.362,6.072,22.36,0.85,290.619,91.203,41.7,78.97,76.82,59.12,72.7,65.53,48.94,54.1,1,2,0.344,0.553,0.347,1
5,Cellcom,Israel,Guinea,4,11.5,1,8.458,8.834,12.4764,5.302,8.821,3.24,0.322,35.848,31.017,39.17,21.75,72.17,41.84,39.29,25.14,15.35,20.25,3,5,0.739,0.773,0.265,1
4,Claro (América Móvil),Mexico,Panama,2,8.5,1,4.264,0.363,2.8165,5.087,3.086,7.12,0.721,40.763,62.198,52.03,80.45,60.63,60.74,67.7,40.73,20.82,30.77,1,2,0.553,0.387,0.334,1
4,Claro (América Móvil),Mexico,Costa Rica,2,11.25,1,5.182,0.18,2.4008,10,3.972,5.01,0.708,76.879,59.049,50.97,66.21,61.94,59.45,62.77,42.22,33.6,37.91,1,1,0.237,0.049,0.241,1
4,Claro (América Móvil),Mexico,Ecuador,2,8.25,1,3.724,0.044,3.8482,5.03,12.657,4.89,0.67,50.848,60.299,54.1,52,45.76,78.24,56.93,32.57,24.94,28.75,3,3,0.655,0.131,0.142,1
4,Claro (América Móvil),Mexico,Guatemala,3,7.5,1,5.182,3.216,1.4896,3.444,11.342,5.53,0.546,108.723,45.127,54.9,57.47,43.13,77.7,57.75,33.18,25.49,29.33,4,4,0.512,0.459,0.375,1
4,Claro (América Móvil),Mexico,Dominican Republic,2,5,1,12.054,0.391,3.2807,4.578,8.731,7.56,0.656,177.243,61.746,50,52.94,49.55,67.67,55.75,34.6,27.27,30.94,2,2,0.429,0.04,0.312,1
4,Claro (América Móvil),Mexico,Argentina,2,7.25,1,5.006,2.416,7.5135,2.686,37.088,12.52,0.771,13.541,89.142,45.27,40.84,52.7,92.34,59.42,37.29,33.44,35.36,2,2,0.255,0.062,0.224,1
4,Claro (América Móvil),Mexico,Chile,1,7.5,1,7.217,0.661,6.7682,3.034,15.547,9.46,0.761,20.527,86.073,48.2,83.22,53.95,86.03,73.19,48.09,29.6,38.84,1,1,0.186,0.187,0.384,1
4,Claro (América Móvil),Mexico,Colombia,2,7.5,1,4.371,0.739,3.8592,4.93,40.228,7.64,0.653,36.416,72.075,55.9,49.64,46.88,79.63,56.89,38.72,25.92,32.32,3,4,0.601,0.019,0.148,1
4,Claro (América Móvil),Mexico,Nicaragua,3,7.5,1,4.074,2.669,2.1133,10,5.139,2.06,0.57,41.772,54.737,45.73,59.02,44.98,56.79,53.22,31.13,20.44,25.78,4,3,0.484,0.047,0.429,1
4,Claro (América Móvil),Mexico,Peru,2,7.5,1,4.533,0.485,4.6397,5.293,26.186,4.98,0.677,20.246,73.042,47.96,74.14,43.41,84.1,65.54,39.06,21.63,30.34,2,3,0.657,0.336,0.199,1
4,Claro (América Móvil),Mexico,El Salvador,3,7.5,1,4.379,4.297,1.7161,3.583,5.972,5.19,0.615,283.187,58.912,45.93,63.93,52.99,77.57,63.65,34.6,23.67,29.14,2,3,0.198,0,0.356,1
4,Claro (América Móvil),Mexico,Jamaica,2,6.25,1,16.594,2.913,2.6035,10,2.594,7.88,0.68,245.324,51.814,45,73.83,44.44,68.53,61.52,38.89,18.87,28.88,2,3,0.413,0.11,0.616,1
4,Claro (América Móvil),Mexico,Paraguay,2,7.75,1,1.296,0.61,6.9933,4.648,5.405,4.56,0.624,13.347,55.331,49.67,57.83,45.82,76.18,58.45,34.45,27.9,31.17,3,3,0.169,0.598,0.212,1
4,Claro (América Móvil),Mexico,Uruguay,2,7.25,1,8.993,5.934,7.9185,0.00506,3.324,11.43,0.742,18.976,92.028,47,61.9,54.07,80.05,64.01,40.26,29.27,34.76,1,1,0.482,0.304,0.437,1
